file	line	occurrence_text	bucket	action
tests/phase-07/test_kahneman_moved.sh	3	wiki/ content dirs k	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	4	wiki/maintenance/ de	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	30	wiki/ content dirs (	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	33	wiki/entities wiki/c	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	33	wiki/concepts wiki/c	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	33	wiki/comparisons wik	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	33	wiki/overviews wiki/	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	33	wiki/sources; do	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	40	"wiki/ content dirs"""	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	42	wiki/ content dirs:$	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	65	wiki/overviews/perso	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	65	wiki/sources/src-202	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	69	wiki/maintenance/ di	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	70	wiki/maintenance ];	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	70	wiki/maintenance/ re	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_moved.sh	70	wiki/maintenance/ st	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_readme.sh	4	wiki/decisions/dr-20	1-cloud	wiki-cloud/
tests/phase-07/test_kahneman_readme.sh	34	wiki/decisions/dr-20	1-cloud	wiki-cloud/
tests/phase-07/test_lint_exclude.sh	19	wiki/marked.md (with	1-cloud	wiki-cloud/
tests/phase-07/test_lint_exclude.sh	30	wiki/marked.md'; the	1-cloud	wiki-cloud/
tests/phase-07/test_lint_exclude.sh	31	wiki/marked.md not l	1-cloud	wiki-cloud/
tests/phase-07/test_lint_exclude.sh	33	wiki/marked.md appea	1-cloud	wiki-cloud/
tests/phase-07/test_lint_exclude.sh	35	wiki/marked.md' | he	1-cloud	wiki-cloud/
tests/phase-07/test_no_stale_kahneman_paths.sh	3	wiki/.../kahneman/..	1-cloud	wiki-cloud/
tests/phase-07/test_no_stale_kahneman_paths.sh	12	wiki/index.md wiki/l	1-cloud	wiki-cloud/
tests/phase-07/test_no_stale_kahneman_paths.sh	12	wiki/log.md; do	1-cloud	wiki-cloud/
tests/phase-07/test_no_stale_kahneman_paths.sh	21	wiki/(entities|conce	1-cloud	wiki-cloud/
tests/phase-07/test_no_stale_kahneman_paths.sh	29	wiki/.../kahneman/..	1-cloud	wiki-cloud/
tests/phase-07/test_release_allowlist.sh	22	"wiki/entities"""	1-cloud	wiki-cloud/
tests/phase-07/test_release_allowlist.sh	23	"wiki/concepts"""	1-cloud	wiki-cloud/
tests/phase-07/test_release_allowlist.sh	24	"wiki/comparisons"""	1-cloud	wiki-cloud/
tests/phase-07/test_release_allowlist.sh	25	"wiki/overviews"""	1-cloud	wiki-cloud/
tests/phase-07/test_release_allowlist.sh	26	"wiki/sources"""	1-cloud	wiki-cloud/
tests/phase-07/test_wiki_skeleton.sh	3	wiki/ contains only	1-cloud	wiki-cloud/
tests/phase-07/test_wiki_skeleton.sh	17	wiki/ top level clea	1-cloud	wiki-cloud/
tests/phase-07/test_wiki_skeleton.sh	19	"wiki/: $UNEXPECTED"""	1-cloud	wiki-cloud/
tests/phase-07/test_wiki_skeleton.sh	25	wiki/index.md)	1-cloud	wiki-cloud/
tests/phase-07/test_wiki_skeleton.sh	27	wiki/index.md is ske	1-cloud	wiki-cloud/
tests/phase-07/test_wiki_skeleton.sh	29	wiki/index.md too lo	1-cloud	wiki-cloud/
